# NOAA Paleoclimatology Program - Paleocean Site Data
# m97-2120-tab.txt
# Complete Data
# File Created: 14-Aug-2007
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Katharina Pahnke
# Core/Site:      MD97-2120
# Latitude:       45.32.04S	( -45.53444)
# Longitude:      174.55.51E	( 174.9308)
# Water Depth(m): 1210
#
# Publications:
#   Pahnke, K., and J.P. Sachs.  2006. Sea surface temperatures of southern midlatitudes
#     0–160 kyr B.P. Paleoceanography, 21, PA2003.
#   Pahnke, K., and R. Zahn. 2005. Southern Hemisphere water mass conversion linked
#     with North Atlantic climate variability. Science, 307, 1741– 1746.
#   Carter, L. and B. Manighetti.  2006. Glacial/interglacial control of terrigenous
#     and biogenic fluxes in the deep ocean off a high input, collisional margin: A
#     139 kyr-record from New Zealand. Mar. Geol., 226, 307– 322.
#------------------
#
# Description & Notes:
#   Southern Ocean Midlatitude 160KYr Alkenone SST Reconstructions
#   Alkenone paleothermometry by 2 published calibrations: Prahl et al. [1988]:
#   Uk'37 = 0.034T  + 0.039  (r2 = 0.994) and Sikes and Volkman [1993]:  Uk'37 =
#   0.0414T + 0.156  (r2 = 0.958)
#
# Notes on Chronology:
#   Chronology from Pahnke '05.
#
# MD97-2120 C14 Dates
# 
#   yrBP      radiocarbon years B.P. (Libby half-life; B.P. = 1950)
# 
#  Depth      yrBP          Error+        Error-            Material    Lab Num.    Notes
#  22.5        1950         -999          -999          G. bulloides          OS-19325            14C AMS Calib4.3 (Stuiver & Reimer 1993)
#  36.5        3560         -999          -999                        14C AMS Calib4.3 (Stuiver & Reimer 1993)
#  98.5        7760         -999          -999                        14C AMS Calib4.3 (Stuiver & Reimer 1993)
#  180.5       11110        -999          -999                        14C AMS reversal, interpolated Calib4.3 (Stuiver & Reimer 1993)
#  202.5       12470        -999          -999                        14C AMS Calib4.3 (Stuiver & Reimer 1993)
#  230.5       13940        -999          -999                        14C AMS Calib4.3 (Stuiver & Reimer 1993)
#  252.5       14350        -999          -999                        14C AMS Calib4.3 (Stuiver & Reimer 1993)
#  284         16700        -999          -999                        14C AMS reversal, interpolated Calib4.3 (Stuiver & Reimer 1993)
#  471         26170        -999          -999                        Kawakawa tephra. Wilson et al. 1988; Carter et al. 2000
#  525         29570        -999          -999                        14C AMS Voelker et al. 1998; 2000
#  573         33010        -999          -999                        14C AMS Voelker et al. 1998; 2000
#  633         35260        -999          -999                        14C AMS Voelker et al. 1998; 2000
#  683.25      40020        -999          -999                        d18Ob tuned to d18Ob of MD95-2042   Shackleton et al. 2000
#  737.25      44830        -999          -999                        d18Ob tuned to d18Ob of MD95-2042   Shackleton et al. 2000
#  775.25      47540        -999          -999                        d18Ob tuned to d18Ob of MD95-2042   Shackleton et al. 2000
#  831.25      55980        -999          -999                        d18Ob tuned to d18Ob of MD95-2042   Shackleton et al. 2000
#  1061.25     72130        -999          -999                        d18Ob tuned to d18Ob of MD95-2042   Shackleton et al. 2000
#  1451.25     105140       -999          -999                        SST tuned to Vostok dD. Vostok age model of Shackleton 2000
#  1651.25     135280       -999          -999                        SST tuned to Vostok dD. Vostok age model of Shackleton 2000
#  1991.25     161060       -999          -999                        SST tuned to Vostok dD. Vostok age model of Shackleton 2000
#  2071.25     168710       -999          -999                        SST tuned to Vostok dD. Vostok age model of Shackleton 2000
#  2241.25     180910       -999          -999                        SST tuned to Vostok dD. Vostok age model of Shackleton 2000
#  2491.25     220320       -999          -999                        SST tuned to Vostok dD. Vostok age model of Shackleton 2000
#  2561.25     233340       -999          -999                        SST tuned to Vostok dD. Vostok age model of Shackleton 2000
#  2741.25     245550       -999          -999                        SST tuned to Vostok dD. Vostok age model of Shackleton 2000
#  2911.25     262590       -999          -999                        SST tuned to Vostok dD. Vostok age model of Shackleton 2000
#  3211.25     281730       -999          -999                        SST tuned to Vostok dD. Vostok age model of Shackleton 2000
#  3351.25     298830       -999          -999                        SST tuned to Vostok dD. Vostok age model of Shackleton 2000
#  3491.25     315920       -999          -999                        SST tuned to Vostok dD. Vostok age model of Shackleton 2000
#  3621.25     337800       -999          -999                        SST tuned to Vostok dD. Vostok age model of Shackleton 2000
# 
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             sst-uk37.p    Sea Surface Temperature from Uk'37 (Prahl et al '88)
#             sst-uk37.s    Sea Surface Temperature from Uk'37 (Sikes and Volkman '93)
#             uk37          Alkenone saturation index
#
# CORE: MD97-2120
depth	calyrBP 	sst-uk37.p	sst-uk37.s	uk37	
22.5	1951	10.222	13.105	0.387	
24.5	2180.4	10.722	13.516	0.404	
26.5	2409.9	10.68	13.481	0.402	
28.5	2639.3	11.252	13.951	0.422	
30.5	2868.7	10.848	13.619	0.408	
32.5	3098.1	11.01	13.753	0.413	
36.5	3557	11.005	13.748	0.413	
40.5	3828.4	10.856	13.626	0.408	
42.5	3964.1	10.78	13.563	0.406	
44.5	4099.8	10.667	13.471	0.402	
46.5	4235.6	10.868	13.635	0.408	
48.5	4371.3	10.897	13.659	0.409	
50.5	4507	10.562	13.384	0.398	
52.5	4642.7	10.803	13.583	0.406	
54.5	4778.4	10.773	13.557	0.405	
56.5	4914.1	10.792	13.573	0.406	
58.5	5049.8	10.528	13.357	0.397	
60.5	5185.5	10.809	13.587	0.407	
62.5	5321.2	10.412	13.261	0.393	
64.5	5456.9	10.644	13.451	0.401	
66.5	5592.6	10.154	13.049	0.384	
68.5	5728.3	10.66	13.465	0.401	
70.5	5864.1	10.747	13.536	0.404	
72.5	5999.8	10.698	13.496	0.403	
74.5	6135.5	10.452	13.294	0.394	
76.5	6271.2	10.364	13.221	0.391	
78.5	6406.9	10.592	13.409	0.399	
80.5	6542.6	10.653	13.459	0.401	
82.5	6678.3	10.611	13.424	0.4	
84.5	6814	10.803	13.582	0.406	
86.5	6949.7	10.971	13.72	0.412	
88.5	7085.4	10.958	13.709	0.412	
90.5	7221.2	10.917	13.675	0.41	
92.5	7356.9	11.057	13.79	0.415	
94.5	7492.6	10.806	13.585	0.406	
96.5	7628.3	10.784	13.566	0.406	
98.5	7764	10.89	13.654	0.409	
100.5	7844	10.97	13.719	0.412	
102.5	7924	11.492	14.148	0.43	
106.5	8084	11.405	14.077	0.427	
110.5	8244	11.583	14.222	0.433	
114.5	8404	12.331	14.837	0.458	
118.5	8564	12.896	15.301	0.477	
122.5	8724	12.824	15.242	0.475	
126.5	8884	12.867	15.277	0.476	
130.5	9044	13.26	15.6	0.49	
134.5	9204	13.178	15.533	0.487	
138.5	9364	13.2	15.55	0.488	
142.5	9524	13.409	15.723	0.495	
148.5	9764	13.283	15.619	0.491	
152.5	9924	13.144	15.505	0.486	
156.5	10084	13.038	15.418	0.482	
160.5	10244	13.168	15.524	0.487	
164.5	10404	12.811	15.231	0.475	
168.5	10564	13.128	15.491	0.485	
174.5	10804	13.724	15.981	0.506	
176.5	10884	13.922	16.143	0.512	
180.5	11044	13.437	15.746	0.496	
182.5	11173.8	13.127	15.491	0.485	
184.5	11303.6	13.653	15.923	0.503	
186.5	11433.5	14.551	16.661	0.534	
188.5	11563.3	14.518	16.633	0.533	
190.5	11693.1	13.889	16.116	0.511	
192.5	11822.9	13.492	15.79	0.498	
194.5	11952.7	13.518	15.812	0.499	
196.5	12082.5	13	15.386	0.481	
198.5	12212.4	13.372	15.692	0.494	
200.5	12342.2	12.955	15.35	0.479	
202.5	12472	12.508	14.983	0.464	
204.5	12577	12.309	14.819	0.458	
206.5	12682	12.355	14.857	0.459	
208.5	12787	12.083	14.633	0.45	
210.5	12892	12.228	14.752	0.455	
214.5	13102	10.855	13.625	0.408	
218.5	13312	11.267	13.963	0.422	
222.5	13522	10.773	13.557	0.405	
224.5	13627	11.654	14.281	0.435	
226.5	13732	10.786	13.568	0.406	
228.5	13837	10.772	13.557	0.405	
230.5	13942	10.344	13.205	0.391	
232.5	13978.6	10.537	13.364	0.397	
234.5	14015.3	10.168	13.061	0.385	
236.5	14051.9	10.757	13.544	0.405	
238.5	14088.5	10.676	13.478	0.402	
240.5	14125.2	11.289	13.982	0.423	
242.5	14161.8	9.802	12.76	0.372	
244.5	14198.5	9.694	12.671	0.369	
246.5	14235.1	9.791	12.751	0.372	
248.5	14271.7	9.743	12.712	0.37	
250.5	14308.4	9.906	12.846	0.376	
252.5	14345	10.495	13.33	0.396	
254.5	14475.8	9.513	12.523	0.362	
256.5	14606.6	9.173	12.244	0.351	
258.5	14737.4	9.18	12.25	0.351	
260.5	14868.3	9.038	12.133	0.346	
264.5	15129.9	8.686	11.844	0.334	
266.5	15260.7	8.727	11.877	0.336	
268.5	15391.5	9.29	12.34	0.355	
270.5	15522.3	8.714	11.867	0.335	
272.5	15653.1	8.741	11.889	0.336	
274.5	15783.9	8.94	12.052	0.343	
277.5	15980.2	8.606	11.778	0.332	
278.5	16045.6	8.562	11.742	0.33	
280.5	16176.4	8.732	11.881	0.336	
282.5	16307.2	8.775	11.916	0.337	
284.5	16431.4	8.294	11.521	0.321	
286.5	16535.8	8.354	11.571	0.323	
288.5	16640.3	8.153	11.406	0.316	
